,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
370,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,160,64 40.0,78 48.8,12 7.5,6 3.8,-,-,-,64,40,78,48.8,12,7.5,6,3.8,260,MT. KENYA FOREST,Male,393,13 3.3,155 39.4,145 36.9,80 20.4,-,-,-,13,3.3,155,39.4,145,36.9,80,20.4,260,MT. KENYA FOREST,Male,393,13 3.3,155 39.4,145 36.9,80 20.4,-,-,-,13,3.3,155,39.4,145,36.9,80,20.4,mt. kenya forest
371,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,160,64 40.0,78 48.8,12 7.5,6 3.8,-,-,-,64,40,78,48.8,12,7.5,6,3.8,281,MT. KENYA FOREST,Male,74,13 17.6,51 68.9,7 9.5,3 4.1,-,-,-,13,17.6,51,68.9,7,9.5,3,4.1,281,MT. KENYA FOREST,Male,74,13 17.6,51 68.9,7 9.5,3 4.1,-,-,-,13,17.6,51,68.9,7,9.5,3,4.1,mt. kenya forest
372,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,160,64 40.0,78 48.8,12 7.5,6 3.8,-,-,-,64,40,78,48.8,12,7.5,6,3.8,302,MT. KENYA FOREST,Male,18,- -,17 94.4,1 5.6,- -,-,-,-,-,-,17,94.4,1,5.6,-,-,302,MT. KENYA FOREST,Male,18,- -,17 94.4,1 5.6,- -,-,-,-,-,-,17,94.4,1,5.6,-,-,mt. kenya forest
373,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,160,64 40.0,78 48.8,12 7.5,6 3.8,-,-,-,64,40,78,48.8,12,7.5,6,3.8,476,MT. KENYA FOREST,Male,118,25 21.2,66 55.9,24 20.3,3 2.5,-,-,-,25,21.2,66,55.9,24,20.3,3,2.5,476,MT. KENYA FOREST,Male,118,25 21.2,66 55.9,24 20.3,3 2.5,-,-,-,25,21.2,66,55.9,24,20.3,3,2.5,mt. kenya forest
374,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,160,64 40.0,78 48.8,12 7.5,6 3.8,-,-,-,64,40,78,48.8,12,7.5,6,3.8,500,MT. KENYA FOREST,Male,24,- -,22 91.7,2 8.3,- -,-,-,-,-,-,22,91.7,2,8.3,-,-,500,MT. KENYA FOREST,Male,24,- -,22 91.7,2 8.3,- -,-,-,-,-,-,22,91.7,2,8.3,-,-,mt. kenya forest
375,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,21,- -,20 95.2,1 4.8,- -,-,-,-,-,-,20,95.2,1,4.8,-,-,260,MT. KENYA FOREST,Male,393,13 3.3,155 39.4,145 36.9,80 20.4,-,-,-,13,3.3,155,39.4,145,36.9,80,20.4,260,MT. KENYA FOREST,Male,393,13 3.3,155 39.4,145 36.9,80 20.4,-,-,-,13,3.3,155,39.4,145,36.9,80,20.4,mt. kenya forest
376,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,21,- -,20 95.2,1 4.8,- -,-,-,-,-,-,20,95.2,1,4.8,-,-,281,MT. KENYA FOREST,Male,74,13 17.6,51 68.9,7 9.5,3 4.1,-,-,-,13,17.6,51,68.9,7,9.5,3,4.1,281,MT. KENYA FOREST,Male,74,13 17.6,51 68.9,7 9.5,3 4.1,-,-,-,13,17.6,51,68.9,7,9.5,3,4.1,mt. kenya forest
377,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,21,- -,20 95.2,1 4.8,- -,-,-,-,-,-,20,95.2,1,4.8,-,-,302,MT. KENYA FOREST,Male,18,- -,17 94.4,1 5.6,- -,-,-,-,-,-,17,94.4,1,5.6,-,-,302,MT. KENYA FOREST,Male,18,- -,17 94.4,1 5.6,- -,-,-,-,-,-,17,94.4,1,5.6,-,-,mt. kenya forest
378,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,21,- -,20 95.2,1 4.8,- -,-,-,-,-,-,20,95.2,1,4.8,-,-,476,MT. KENYA FOREST,Male,118,25 21.2,66 55.9,24 20.3,3 2.5,-,-,-,25,21.2,66,55.9,24,20.3,3,2.5,476,MT. KENYA FOREST,Male,118,25 21.2,66 55.9,24 20.3,3 2.5,-,-,-,25,21.2,66,55.9,24,20.3,3,2.5,mt. kenya forest
379,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,21,- -,20 95.2,1 4.8,- -,-,-,-,-,-,20,95.2,1,4.8,-,-,500,MT. KENYA FOREST,Male,24,- -,22 91.7,2 8.3,- -,-,-,-,-,-,22,91.7,2,8.3,-,-,500,MT. KENYA FOREST,Male,24,- -,22 91.7,2 8.3,- -,-,-,-,-,-,22,91.7,2,8.3,-,-,mt. kenya forest
380,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,178,44 24.7,101 56.7,29 16.3,4 2.2,-,-,-,44,24.7,101,56.7,29,16.3,4,2.2,260,MT. KENYA FOREST,Male,393,13 3.3,155 39.4,145 36.9,80 20.4,-,-,-,13,3.3,155,39.4,145,36.9,80,20.4,260,MT. KENYA FOREST,Male,393,13 3.3,155 39.4,145 36.9,80 20.4,-,-,-,13,3.3,155,39.4,145,36.9,80,20.4,mt. kenya forest
381,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,178,44 24.7,101 56.7,29 16.3,4 2.2,-,-,-,44,24.7,101,56.7,29,16.3,4,2.2,281,MT. KENYA FOREST,Male,74,13 17.6,51 68.9,7 9.5,3 4.1,-,-,-,13,17.6,51,68.9,7,9.5,3,4.1,281,MT. KENYA FOREST,Male,74,13 17.6,51 68.9,7 9.5,3 4.1,-,-,-,13,17.6,51,68.9,7,9.5,3,4.1,mt. kenya forest
382,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,178,44 24.7,101 56.7,29 16.3,4 2.2,-,-,-,44,24.7,101,56.7,29,16.3,4,2.2,302,MT. KENYA FOREST,Male,18,- -,17 94.4,1 5.6,- -,-,-,-,-,-,17,94.4,1,5.6,-,-,302,MT. KENYA FOREST,Male,18,- -,17 94.4,1 5.6,- -,-,-,-,-,-,17,94.4,1,5.6,-,-,mt. kenya forest
383,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,178,44 24.7,101 56.7,29 16.3,4 2.2,-,-,-,44,24.7,101,56.7,29,16.3,4,2.2,476,MT. KENYA FOREST,Male,118,25 21.2,66 55.9,24 20.3,3 2.5,-,-,-,25,21.2,66,55.9,24,20.3,3,2.5,476,MT. KENYA FOREST,Male,118,25 21.2,66 55.9,24 20.3,3 2.5,-,-,-,25,21.2,66,55.9,24,20.3,3,2.5,mt. kenya forest
384,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,178,44 24.7,101 56.7,29 16.3,4 2.2,-,-,-,44,24.7,101,56.7,29,16.3,4,2.2,500,MT. KENYA FOREST,Male,24,- -,22 91.7,2 8.3,- -,-,-,-,-,-,22,91.7,2,8.3,-,-,500,MT. KENYA FOREST,Male,24,- -,22 91.7,2 8.3,- -,-,-,-,-,-,22,91.7,2,8.3,-,-,mt. kenya forest
385,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,34,3 8.8,28 82.4,3 8.8,- -,-,-,-,3,8.8,28,82.4,3,8.8,-,-,260,MT. KENYA FOREST,Male,393,13 3.3,155 39.4,145 36.9,80 20.4,-,-,-,13,3.3,155,39.4,145,36.9,80,20.4,260,MT. KENYA FOREST,Male,393,13 3.3,155 39.4,145 36.9,80 20.4,-,-,-,13,3.3,155,39.4,145,36.9,80,20.4,mt. kenya forest
386,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,34,3 8.8,28 82.4,3 8.8,- -,-,-,-,3,8.8,28,82.4,3,8.8,-,-,281,MT. KENYA FOREST,Male,74,13 17.6,51 68.9,7 9.5,3 4.1,-,-,-,13,17.6,51,68.9,7,9.5,3,4.1,281,MT. KENYA FOREST,Male,74,13 17.6,51 68.9,7 9.5,3 4.1,-,-,-,13,17.6,51,68.9,7,9.5,3,4.1,mt. kenya forest
387,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,34,3 8.8,28 82.4,3 8.8,- -,-,-,-,3,8.8,28,82.4,3,8.8,-,-,302,MT. KENYA FOREST,Male,18,- -,17 94.4,1 5.6,- -,-,-,-,-,-,17,94.4,1,5.6,-,-,302,MT. KENYA FOREST,Male,18,- -,17 94.4,1 5.6,- -,-,-,-,-,-,17,94.4,1,5.6,-,-,mt. kenya forest
388,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,34,3 8.8,28 82.4,3 8.8,- -,-,-,-,3,8.8,28,82.4,3,8.8,-,-,476,MT. KENYA FOREST,Male,118,25 21.2,66 55.9,24 20.3,3 2.5,-,-,-,25,21.2,66,55.9,24,20.3,3,2.5,476,MT. KENYA FOREST,Male,118,25 21.2,66 55.9,24 20.3,3 2.5,-,-,-,25,21.2,66,55.9,24,20.3,3,2.5,mt. kenya forest
389,"Meru, Embu, Kirinyaga, Nyeri and Tharaka Nithi counties",,,,,MT. KENYA FOREST,MT. KENYA FOREST,34,3 8.8,28 82.4,3 8.8,- -,-,-,-,3,8.8,28,82.4,3,8.8,-,-,500,MT. KENYA FOREST,Male,24,- -,22 91.7,2 8.3,- -,-,-,-,-,-,22,91.7,2,8.3,-,-,500,MT. KENYA FOREST,Male,24,- -,22 91.7,2 8.3,- -,-,-,-,-,-,22,91.7,2,8.3,-,-,mt. kenya forest
512,Kisumu,Kisumu,42,Muhoroni,muhoroni,MUHORONI,MUHORONI,"141,120","68,825 48.8","28,826 20.4","29,536 20.9","12,651 9.0","1,251",0.9,31,"68,825",48.8,"28,826",20.4,"29,536",20.9,"12,651",9,1028,MUHORONI,Male,"69,743","35,108 50.3","15,374 22.0","13,517 19.4","5,054 7.2",672,1,18,"35,108",50.3,"15,374",22,"13,517",19.4,"5,054",7.2,1028,MUHORONI,Male,"69,743","35,108 50.3","15,374 22.0","13,517 19.4","5,054 7.2",672,1,18,"35,108",50.3,"15,374",22,"13,517",19.4,"5,054",7.2,muhoroni
418,Makueni,Wote,17,Mukaa,mukaa,MUKAA,MUKAA,"100,143","39,315 39.3","34,130 34.1","18,394 18.4","7,018 7.0","1,254",1.3,32,"39,315",39.3,"34,130",34.1,"18,394",18.4,"7,018",7,416,MUKAA,Male,"50,574","20,066 39.7","17,528 34.7","9,435 18.7","2,821 5.6",711,1.4,13,"20,066",39.7,"17,528",34.7,"9,435",18.7,"2,821",5.6,416,MUKAA,Male,"50,574","20,066 39.7","17,528 34.7","9,435 18.7","2,821 5.6",711,1.4,13,"20,066",39.7,"17,528",34.7,"9,435",18.7,"2,821",5.6,mukaa
429,Nyeri,Nyeri,19,Mukurwe-ini,mukurwe-ini,MUKURWE-INI,MUKURWE-INI,"83,933","30,159 35.9","31,566 37.6","15,892 18.9","5,655 6.7",657,0.8,4,"30,159",35.9,"31,566",37.6,"15,892",18.9,"5,655",6.7,470,MUKURWE-INI,Male,"41,386","15,861 38.3","15,909 38.4","7,390 17.9","1,883 4.5",341,0.8,2,"15,861",38.3,"15,909",38.4,"7,390",17.9,"1,883",4.5,470,MUKURWE-INI,Male,"41,386","15,861 38.3","15,909 38.4","7,390 17.9","1,883 4.5",341,0.8,2,"15,861",38.3,"15,909",38.4,"7,390",17.9,"1,883",4.5,mukurwe-ini
490,Kakamega,Kakamega,37,Mumias west,mumias west,MUMIAS WEST,MUMIAS WEST,"106,473","53,145 49.9","20,060 18.8","20,588 19.3","12,011 11.3",642,0.6,27,"53,145",49.9,"20,060",18.8,"20,588",19.3,"12,011",11.3,902,MUMIAS WEST,Male,"50,529","26,655 52.8","9,728 19.3","9,088 18.0","4,688 9.3",359,0.7,11,"26,655",52.8,"9,728",19.3,"9,088",18,"4,688",9.3,902,MUMIAS WEST,Male,"50,529","26,655 52.8","9,728 19.3","9,088 18.0","4,688 9.3",359,0.7,11,"26,655",52.8,"9,728",19.3,"9,088",18,"4,688",9.3,mumias west
402,Kitui,Kitui,15,Mumoni,mumoni,MUMONI,MUMONI,"27,319","13,808 50.5","4,787 17.5","4,817 17.6","3,647 13.3",258,0.9,2,"13,808",50.5,"4,787",17.5,"4,817",17.6,"3,647",13.3,335,MUMONI,Male,"12,732","6,857 53.9","2,213 17.4","2,126 16.7","1,399 11.0",135,1.1,2,"6,857",53.9,"2,213",17.4,"2,126",16.7,"1,399",11,335,MUMONI,Male,"12,732","6,857 53.9","2,213 17.4","2,126 16.7","1,399 11.0",135,1.1,2,"6,857",53.9,"2,213",17.4,"2,126",16.7,"1,399",11,mumoni
436,Murang'a,Murang'a,21,Murang'a,murang'a,MURANG'A,MURANG'A,"988,224","358,844 36.3","358,964 36.3","193,814 19.6","72,326 7.3","4,133",0.4,143,"358,844",36.3,"358,964",36.3,"193,814",19.6,"72,326",7.3,503,MURANG'A,Male,"488,689","184,250 37.7","182,572 37.4","93,190 19.1","26,285 5.4","2,319",0.5,73,"184,250",37.7,"182,572",37.4,"93,190",19.1,"26,285",5.4,503,MURANG'A,Male,"488,689","184,250 37.7","182,572 37.4","93,190 19.1","26,285 5.4","2,319",0.5,73,"184,250",37.7,"182,572",37.4,"93,190",19.1,"26,285",5.4,murang'a
437,Murang'a,Murang'a,21,Murang'a east,murang'a east,MURANG'A EAST,MURANG'A EAST,"101,606","35,232 34.7","41,784 41.1","16,745 16.5","7,418 7.3",421,0.4,6,"35,232",34.7,"41,784",41.1,"16,745",16.5,"7,418",7.3,506,MURANG'A EAST,Male,"49,826","17,772 35.7","20,968 42.1","8,183 16.4","2,671 5.4",230,0.5,2,"17,772",35.7,"20,968",42.1,"8,183",16.4,"2,671",5.4,506,MURANG'A EAST,Male,"49,826","17,772 35.7","20,968 42.1","8,183 16.4","2,671 5.4",230,0.5,2,"17,772",35.7,"20,968",42.1,"8,183",16.4,"2,671",5.4,murang'a east
438,Murang'a,Murang'a,21,Murang'a south,murang'a south,MURANG'A SOUTH,MURANG'A SOUTH,"172,158","64,167 37.3","59,067 34.3","35,977 20.9","12,238 7.1",682,0.4,27,"64,167",37.3,"59,067",34.3,"35,977",20.9,"12,238",7.1,518,MURANG'A SOUTH,Male,"85,252","32,909 38.6","30,308 35.6","17,034 20.0","4,565 5.4",422,0.5,14,"32,909",38.6,"30,308",35.6,"17,034",20,"4,565",5.4,518,MURANG'A SOUTH,Male,"85,252","32,909 38.6","30,308 35.6","17,034 20.0","4,565 5.4",422,0.5,14,"32,909",38.6,"30,308",35.6,"17,034",20,"4,565",5.4,murang'a south
124,Kitui,Kitui,15,Mutitu,mutitu,MUTITU,MUTITU,"51,464","25,958 50.4","8,943 17.4","6,259 12.2","9,577 18.6",678,1.3,49,"25,958",50.4,"8,943",17.4,"6,259",12.2,"9,577",18.6,338,MUTITU,Male,"24,422","13,084 53.6","4,347 17.8","2,920 12.0","3,695 15.1",355,1.5,21,"13,084",53.6,"4,347",17.8,"2,920",12,"3,695",15.1,338,MUTITU,Male,"24,422","13,084 53.6","4,347 17.8","2,920 12.0","3,695 15.1",355,1.5,21,"13,084",53.6,"4,347",17.8,"2,920",12,"3,695",15.1,mutitu
403,Kitui,Kitui,15,Mutitu north,mutitu north,MUTITU NORTH,MUTITU NORTH,"19,815","9,275 46.8","4,869 24.6","2,857 14.4","2,657 13.4",152,0.8,5,"9,275",46.8,"4,869",24.6,"2,857",14.4,"2,657",13.4,341,MUTITU NORTH,Male,"9,620","4,763 49.5","2,437 25.3","1,354 14.1",962 10.0,101,1,3,"4,763",49.5,"2,437",25.3,"1,354",14.1,962,10,341,MUTITU NORTH,Male,"9,620","4,763 49.5","2,437 25.3","1,354 14.1",962 10.0,101,1,3,"4,763",49.5,"2,437",25.3,"1,354",14.1,962,10,mutitu north
125,Kitui,Kitui,15,Mutomo,mutomo,MUTOMO,MUTOMO,"105,422","51,247 48.6","21,277 20.2","14,541 13.8","17,523 16.6",828,0.8,6,"51,247",48.6,"21,277",20.2,"14,541",13.8,"17,523",16.6,344,MUTOMO,Male,"50,656","25,989 51.3","10,464 20.7","6,943 13.7","6,776 13.4",480,0.9,4,"25,989",51.3,"10,464",20.7,"6,943",13.7,"6,776",13.4,344,MUTOMO,Male,"50,656","25,989 51.3","10,464 20.7","6,943 13.7","6,776 13.4",480,0.9,4,"25,989",51.3,"10,464",20.7,"6,943",13.7,"6,776",13.4,mutomo
190,Mombasa,Mombasa City,1,Mvita,mvita,MVITA,MVITA,"138,927","46,714 33.6","54,731 39.4","18,229 13.1","17,745 12.8","1,441",1,67,"46,714",33.6,"54,731",39.4,"18,229",13.1,"17,745",12.8,20,MVITA,Male,"66,589","23,515 35.3","27,476 41.3","8,307 12.5","6,515 9.8",736,1.1,40,"23,515",35.3,"27,476",41.3,"8,307",12.5,"6,515",9.8,20,MVITA,Male,"66,589","23,515 35.3","27,476 41.3","8,307 12.5","6,515 9.8",736,1.1,40,"23,515",35.3,"27,476",41.3,"8,307",12.5,"6,515",9.8,mvita
147,Machakos,Machakos,16,Mwala,mwala,MWALA,MWALA,"171,999","69,402 40.4","59,957 34.9","27,719 16.1","13,925 8.1",985,0.6,11,"69,402",40.4,"59,957",34.9,"27,719",16.1,"13,925",8.1,386,MWALA,Male,"85,399","36,048 42.2","29,913 35.0","13,803 16.2","5,114 6.0",513,0.6,8,"36,048",42.2,"29,913",35,"13,803",16.2,"5,114",6,386,MWALA,Male,"85,399","36,048 42.2","29,913 35.0","13,803 16.2","5,114 6.0",513,0.6,8,"36,048",42.2,"29,913",35,"13,803",16.2,"5,114",6,mwala
268,Taita-Taveta,Voi,6,Mwatate,mwatate,MWATATE,MWATATE,"76,078","28,635 37.6","27,675 36.4","12,851 16.9","6,765 8.9",143,0.2,9,"28,635",37.6,"27,675",36.4,"12,851",16.9,"6,765",8.9,98,MWATATE,Male,"38,672","14,632 37.8","14,867 38.4","6,443 16.7","2,638 6.8",87,0.2,5,"14,632",37.8,"14,867",38.4,"6,443",16.7,"2,638",6.8,98,MWATATE,Male,"38,672","14,632 37.8","14,867 38.4","6,443 16.7","2,638 6.8",87,0.2,5,"14,632",37.8,"14,867",38.4,"6,443",16.7,"2,638",6.8,mwatate
106,Kirinyaga,Kerugoya/Kutus,20,Mwea east,mwea east,MWEA EAST,MWEA EAST,"122,344","40,992 33.5","40,192 32.9","31,782 26.0","8,308 6.8","1,061",0.9,9,"40,992",33.5,"40,192",32.9,"31,782",26,"8,308",6.8,494,MWEA EAST,Male,"60,740","20,775 34.2","20,158 33.2","15,823 26.1","3,335 5.5",644,1.1,5,"20,775",34.2,"20,158",33.2,"15,823",26.1,"3,335",5.5,494,MWEA EAST,Male,"60,740","20,775 34.2","20,158 33.2","15,823 26.1","3,335 5.5",644,1.1,5,"20,775",34.2,"20,158",33.2,"15,823",26.1,"3,335",5.5,mwea east
107,Kirinyaga,Kerugoya/Kutus,20,Mwea west,mwea west,MWEA WEST,MWEA WEST,"98,400","34,760 35.3","29,941 30.4","26,527 27.0","6,619 6.7",551,0.6,2,"34,760",35.3,"29,941",30.4,"26,527",27,"6,619",6.7,497,MWEA WEST,Male,"48,976","17,890 36.5","15,292 31.2","13,199 26.9","2,264 4.6",331,0.7,-,"17,890",36.5,"15,292",31.2,"13,199",26.9,"2,264",4.6,497,MWEA WEST,Male,"48,976","17,890 36.5","15,292 31.2","13,199 26.9","2,264 4.6",331,0.7,-,"17,890",36.5,"15,292",31.2,"13,199",26.9,"2,264",4.6,mwea west
127,Kitui,Kitui,15,Mwingi central,mwingi central,MWINGI CENTRAL,MWINGI CENTRAL,"100,501","46,035 45.8","26,978 26.8","13,360 13.3","13,107 13.0","1,007",1,14,"46,035",45.8,"26,978",26.8,"13,360",13.3,"13,107",13,347,MWINGI CENTRAL,Male,"48,132","23,501 48.8","12,588 26.2","6,252 13.0","5,242 10.9",545,1.1,4,"23,501",48.8,"12,588",26.2,"6,252",13,"5,242",10.9,347,MWINGI CENTRAL,Male,"48,132","23,501 48.8","12,588 26.2","6,252 13.0","5,242 10.9",545,1.1,4,"23,501",48.8,"12,588",26.2,"6,252",13,"5,242",10.9,mwingi central
128,Kitui,Kitui,15,Mwingi east,mwingi east,MWINGI EAST,MWINGI EAST,"79,205","39,172 49.5","14,419 18.2","10,957 13.8","13,537 17.1","1,103",1.4,17,"39,172",49.5,"14,419",18.2,"10,957",13.8,"13,537",17.1,350,MWINGI EAST,Male,"37,382","19,856 53.1","6,738 18.0","4,941 13.2","5,281 14.1",562,1.5,4,"19,856",53.1,"6,738",18,"4,941",13.2,"5,281",14.1,350,MWINGI EAST,Male,"37,382","19,856 53.1","6,738 18.0","4,941 13.2","5,281 14.1",562,1.5,4,"19,856",53.1,"6,738",18,"4,941",13.2,"5,281",14.1,mwingi east
534,Nairobi,Nairobi City,47,Nairobi City,nairobi city,NAIROBI CITY,NAIROBI CITY,"4,010,447","1,358,304 33.9","1,921,640 47.9","505,807 12.6","187,364 4.7","35,729",0.9,"1,603","1,358,304",33.9,"1,921,640",47.9,"505,807",12.6,"187,364",4.7,1145,NAIROBI CITY,Male,"1,986,852","671,188 33.8","984,163 49.5","228,088 11.5","83,093 4.2","19,514",1,806,"671,188",33.8,"984,163",49.5,"228,088",11.5,"83,093",4.2,1145,NAIROBI CITY,Male,"1,986,852","671,188 33.8","984,163 49.5","228,088 11.5","83,093 4.2","19,514",1,806,"671,188",33.8,"984,163",49.5,"228,088",11.5,"83,093",4.2,nairobi city
222,Nakuru,Nakuru,32,Naivasha,naivasha,NAIVASHA,NAIVASHA,"322,714","122,184 37.9","123,117 38.2","50,229 15.6","24,112 7.5","3,005",0.9,67,"122,184",37.9,"123,117",38.2,"50,229",15.6,"24,112",7.5,761,NAIVASHA,Male,"161,071","61,761 38.3","63,148 39.2","23,533 14.6","10,813 6.7","1,782",1.1,34,"61,761",38.3,"63,148",39.2,"23,533",14.6,"10,813",6.7,761,NAIVASHA,Male,"161,071","61,761 38.3","63,148 39.2","23,533 14.6","10,813 6.7","1,782",1.1,34,"61,761",38.3,"63,148",39.2,"23,533",14.6,"10,813",6.7,naivasha
466,Nakuru,Nakuru,32,,,NAKURU,NAKURU,"1,981,598","843,280 42.6","652,319 32.9","322,032 16.3","147,198 7.4","16,450",0.8,319,"843,280",42.6,"652,319",32.9,"322,032",16.3,"147,198",7.4,746,NAKURU,Male,"982,910","429,850 43.7","330,145 33.6","150,063 15.3","63,298 6.4","9,390",1,164,"429,850",43.7,"330,145",33.6,"150,063",15.3,"63,298",6.4,746,NAKURU,Male,"982,910","429,850 43.7","330,145 33.6","150,063 15.3","63,298 6.4","9,390",1,164,"429,850",43.7,"330,145",33.6,"150,063",15.3,"63,298",6.4,nakuru
467,Nakuru,Nakuru,32,Nakuru east,nakuru east,NAKURU EAST,NAKURU EAST,"176,055","67,868 38.5","78,049 44.3","21,206 12.0","7,575 4.3","1,300",0.7,57,"67,868",38.5,"78,049",44.3,"21,206",12,"7,575",4.3,764,NAKURU EAST,Male,"83,491","33,656 40.3","36,924 44.2","8,997 10.8","3,170 3.8",712,0.9,32,"33,656",40.3,"36,924",44.2,"8,997",10.8,"3,170",3.8,764,NAKURU EAST,Male,"83,491","33,656 40.3","36,924 44.2","8,997 10.8","3,170 3.8",712,0.9,32,"33,656",40.3,"36,924",44.2,"8,997",10.8,"3,170",3.8,nakuru east
468,Nakuru,Nakuru,32,Nakuru north,nakuru north,NAKURU NORTH,NAKURU NORTH,"201,190","82,270 40.9","74,572 37.1","30,096 15.0","12,628 6.3","1,563",0.8,61,"82,270",40.9,"74,572",37.1,"30,096",15,"12,628",6.3,767,NAKURU NORTH,Male,"97,573","41,720 42.8","36,254 37.2","13,714 14.1","4,968 5.1",883,0.9,34,"41,720",42.8,"36,254",37.2,"13,714",14.1,"4,968",5.1,767,NAKURU NORTH,Male,"97,573","41,720 42.8","36,254 37.2","13,714 14.1","4,968 5.1",883,0.9,34,"41,720",42.8,"36,254",37.2,"13,714",14.1,"4,968",5.1,nakuru north
469,Nakuru,Nakuru,32,Nakuru west,nakuru west,NAKURU WEST,NAKURU WEST,"179,490","67,111 37.4","73,402 40.9","27,382 15.3","9,438 5.3","2,151",1.2,6,"67,111",37.4,"73,402",40.9,"27,382",15.3,"9,438",5.3,770,NAKURU WEST,Male,"91,321","33,350 36.5","39,006 42.7","13,262 14.5","4,468 4.9","1,232",1.3,3,"33,350",36.5,"39,006",42.7,"13,262",14.5,"4,468",4.9,770,NAKURU WEST,Male,"91,321","33,350 36.5","39,006 42.7","13,262 14.5","4,468 4.9","1,232",1.3,3,"33,350",36.5,"39,006",42.7,"13,262",14.5,"4,468",4.9,nakuru west
